Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
101,5,Ich wünsche _____ einen schönen Abend.,dir,Ich wünsche dir einen schönen Abend.,I wish you a nice evening.,Je te souhaite une bonne soirée.,du,Dative,Datif,,,wünschen,to wish,souhaiter,"du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),wünschen → Accusative + Dative (Ditransitive),wünschen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>wünschen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>wünschen = to wish","du, Datif → dir<br><br>wünschen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>wünschen = souhaiter"
102,6,Die Eltern erlauben _____ Kind einen Film.,dem,Die Eltern erlauben dem Kind einen Film.,The parents allow the child a movie.,Les parents permettent à l’enfant de regarder un film.,der/die/das,Dative,Datif,Neuter,Neutre,erlauben,"to allow, to permit","permettre, donner l'autorisation","der/die/das, Neuter, Dative → dem","der/die/das, Neutre, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erlauben → Accusative + Dative (Ditransitive),erlauben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Neuter, Dative → dem<br><br>erlauben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>erlauben = to allow, to permit","der/die/das, Neutre, Datif → dem<br><br>erlauben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>erlauben = permettre, donner l'autorisation"
103,4,Ich teile _____ die Ergebnisse morgen mit.,dir,Ich teile dir die Ergebnisse morgen mit.,I will inform you of the results tomorrow.,Je te communiquerai les résultats demain.,du,Dative,Datif,,,mitteilen,"to inform, to notify, to communicate","informer, notifier, communiquer","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),mitteilen → Accusative + Dative (Ditransitive),mitteilen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>mitteilen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>mitteilen = to inform, to notify, to communicate","du, Datif → dir<br><br>mitteilen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>mitteilen = informer, notifier, communiquer"
104,5,Sie sendet _____ Kunden die Rechnung per E-Mail.,dem,Sie sendet dem Kunden die Rechnung per E-Mail.,She sends the invoice to the customer by email.,Elle envoie la facture au client par e-mail.,der/die/das,Dative,Datif,Masculine,Masculin,senden,"to send, to broadcast","envoyer, diffuser","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),senden → Accusative + Dative (Ditransitive),senden → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>senden → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>senden = to send, to broadcast","der/die/das, Masculin, Datif → dem<br><br>senden → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>senden = envoyer, diffuser"
105,6,Der Lehrer verbietet _____ Schülern die Handys im Unterricht.,den,Der Lehrer verbietet den Schülern die Handys im Unterricht.,The teacher forbids the students the phones in class.,Le professeur interdit aux élèves les téléphones en cours.,der/die/das,Dative,Datif,Plural,Pluriel,verbieten,"to forbid, to prohibit","interdire, prohiber","der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verbieten → Accusative + Dative (Ditransitive),verbieten → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Dative → den<br><br>verbieten → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>verbieten = to forbid, to prohibit","der/die/das, Pluriel, Datif → den<br><br>verbieten → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>verbieten = interdire, prohiber"
106,4,Ich biete _____ einen Kaffee an.,dir,Ich biete dir einen Kaffee an.,I offer you a coffee.,Je t’offre un café.,du,Dative,Datif,,,anbieten,"to offer, to provide, to propose","offrir, fournir, proposer","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),anbieten → Accusative + Dative (Ditransitive),anbieten → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>anbieten → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>anbieten = to offer, to provide, to propose","du, Datif → dir<br><br>anbieten → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>anbieten = offrir, fournir, proposer"
107,5,Sie verspricht _____ Freund eine schnelle Antwort.,ihrem,Sie verspricht ihrem Freund eine schnelle Antwort.,She promises her friend a quick answer.,Elle promet à son ami une réponse rapide.,ihr,Dative,Datif,Masculine,Masculin,versprechen,"to promise, to hope for, to misspeak","promettre, espérer","ihr, Masculine, Dative → ihrem","ihr, Masculin, Datif → ihrem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),versprechen → Accusative + Dative (Ditransitive),versprechen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ihr, Masculine, Dative → ihrem<br><br>versprechen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>versprechen = to promise, to hope for, to misspeak","ihr, Masculin, Datif → ihrem<br><br>versprechen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>versprechen = promettre, espérer"
108,6,Wir schlagen _____ Chef einen neuen Plan vor.,dem,Wir schlagen dem Chef einen neuen Plan vor.,We suggest a new plan to the boss.,Nous proposons un nouveau plan au chef.,der/die/das,Dative,Datif,Masculine,Masculin,vorschlagen,"to suggest, to propose","suggérer, proposer","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vorschlagen → Accusative + Dative (Ditransitive),vorschlagen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>vorschlagen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>vorschlagen = to suggest, to propose","der/die/das, Masculin, Datif → dem<br><br>vorschlagen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>vorschlagen = suggérer, proposer"
109,4,Ich bringe _____ morgen das Buch mit.,dir,Ich bringe dir morgen das Buch mit.,I bring you the book tomorrow.,Je t’apporte le livre demain.,du,Dative,Datif,,,mitbringen,"to bring along, to bring with",apporter,"du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),mitbringen → Accusative + Dative (Ditransitive),mitbringen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>mitbringen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>mitbringen = to bring along, to bring with","du, Datif → dir<br><br>mitbringen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>mitbringen = apporter"
110,5,Die Firma liefert _____ Kunden die Ware am Montag.,dem,Die Firma liefert dem Kunden die Ware am Montag.,The company delivers the goods to the customer on Monday.,L’entreprise livre la marchandise au client lundi.,der/die/das,Dative,Datif,Masculine,Masculin,liefern,"to deliver, to supply","livrer, approvisionner","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),liefern → Accusative + Dative (Ditransitive),liefern → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>liefern → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>liefern = to deliver, to supply","der/die/das, Masculin, Datif → dem<br><br>liefern → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>liefern = livrer, approvisionner"
111,6,Der Arzt überträgt _____ Kollegen die Verantwortung.,dem,Der Arzt überträgt dem Kollegen die Verantwortung.,The doctor transfers the responsibility to the colleague.,Le médecin transfère la responsabilité au collègue.,der/die/das,Dative,Datif,Masculine,Masculin,übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),übertragen → Accusative + Dative (Ditransitive),übertragen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>übertragen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>übertragen = to transfer, to transmit, to broadcast","der/die/das, Masculin, Datif → dem<br><br>übertragen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>übertragen = transférer, transmettre, diffuser"
112,4,Ich gebe _____ Lehrer die Hausaufgaben ab.,dem,Ich gebe dem Lehrer die Hausaufgaben ab.,I hand in the homework to the teacher.,Je rends les devoirs au professeur.,der/die/das,Dative,Datif,Masculine,Masculin,abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),abgeben → Accusative + Dative (Ditransitive),abgeben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>abgeben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>abgeben = to submit, to hand in, to deliver","der/die/das, Masculin, Datif → dem<br><br>abgeben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>abgeben = soumettre, remettre, livrer"
113,5,Die Firma ermöglicht _____ den Zugang zu den Daten.,uns,Die Firma ermöglicht uns den Zugang zu den Daten.,The company enables us access to the data.,L’entreprise nous permet l’accès aux données.,wir,Dative,Datif,,,ermöglichen,"to enable, to make possible","permettre, rendre possible","wir, Dative → uns","wir, Datif → uns",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),ermöglichen → Accusative + Dative (Ditransitive),ermöglichen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"wir, Dative → uns<br><br>ermöglichen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>ermöglichen = to enable, to make possible","wir, Datif → uns<br><br>ermöglichen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>ermöglichen = permettre, rendre possible"
