exercise,question,answer,german,english,french,transitivity_english,transitivity_french
41,,feststellen,feststellen,"to determine, to ascertain, to notice","déterminer, constater, remarquer",Sometimes Reflexive,Parfois Réfléchi
41,,unterhalten,unterhalten,"to entertain, to maintain, to support, to convert","divertir, entretenir, soutenir, convertir",Sometimes Reflexive,Parfois Réfléchi
41,,einstellen,einstellen,"to hire, to adjust, to stop","embaucher, ajuster, arrêter",Sometimes Reflexive,Parfois Réfléchi
41,,geschehen,geschehen,"to happen, to occur, to take place","se produire, avoir lieu (formel)",,
41,,stecken,stecken,"to stick, to pin","coller, épingler",Sometimes Reflexive,Parfois Réfléchi
41,,sinken,sinken,"to sink, to decrease, to drop","couler, diminuer, laisser tomber",,
41,,klingen,klingen,"to sound, to ring, to seem","sonner, sonner, sembler",,
41,,überlegen,überlegen,"to consider, to think about, to reflect, to lay over","considérer, penser à, réfléchir, recouvrir, poser par-dessus",Sometimes Reflexive,Parfois Réfléchi
41,,unternehmen,unternehmen,"to undertake, to attempt, to take action","entreprendre, tenter, agir",,
42,,kündigen,kündigen,"to resign, to quit, to terminate, to cancel","démissionner, quitter, mettre fin à, annuler",Sometimes Reflexive,Parfois Réfléchi
42,,vertreten,vertreten,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",,
42,,gründen,gründen,"to found, to establish, to start","fonder, établir, démarrer",,
42,,packen,packen,"to pack, to grab, to manage","emballer, saisir, gérer",Sometimes Reflexive,Parfois Réfléchi
42,,durchführen,durchführen,"to carry out, to conduct, to implement","réaliser, mener, mettre en œuvre",,
42,,drucken,drucken,to print,imprimer,Sometimes Reflexive,Parfois Réfléchi
42,,untersuchen,untersuchen,"to investigate, to examine, to analyze","enquêter, examiner, analyser",Sometimes Reflexive,Parfois Réfléchi
42,,verraten,verraten,"to betray, to reveal","trahir, révéler",,
42,,entstehen,entstehen,"to arise, to develop, to come into being","surgir, se développer, naître",,
42,,abgeben,abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer",,
42,,gelingen,gelingen,"to succeed, to be successful, to work out","réussir, s'entraîner",,
42,,reichen,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant",Sometimes Reflexive,Parfois Réfléchi
42,,fordern,fordern,"to demand, to require, to call for","exiger, requérir, réclamer",,
42,,schießen,schießen,"to shoot, to fire","tirer, faire feu",Sometimes Reflexive,Parfois Réfléchi
42,,wenden,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser",Sometimes Reflexive,Parfois Réfléchi
42,,ablehnen,ablehnen,"to refuse, to reject, to decline","refuser, rejeter, décliner",,
42,,einsetzen,einsetzen,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",Sometimes Reflexive,Parfois Réfléchi
42,,gestalten,gestalten,"to shape, to design, to organize","façonner, concevoir, organiser",Sometimes Reflexive,Parfois Réfléchi
42,,speichern,speichern,"to save, to store","sauvegarder, stocker",,
42,,stoßen,stoßen,"to push, to bump, to kick, to thrust","pousser, cogner, donner un coup de pied",Sometimes Reflexive,Parfois Réfléchi
43,,auswählen,auswählen,"to choose, to select","choisir, sélectionner",Sometimes Reflexive,Parfois Réfléchi
43,,bestätigen,bestätigen,"to confirm, to acknowledge, to endorse","confirmer, reconnaître, approuver",,
43,,reparieren,reparieren,"to repair, to fix",réparer,Sometimes Reflexive,Parfois Réfléchi
43,,reduzieren,reduzieren,"to reduce, to decrease","réduire, diminuer",Sometimes Reflexive,Parfois Réfléchi
43,,starten,starten,"to start, to launch, to take off","démarrer, lancer, décoller",Sometimes Reflexive,Parfois Réfléchi
43,,überzeugen,überzeugen,"to convince, to persuade","convaincre, persuader",Sometimes Reflexive,Parfois Réfléchi
43,,brennen,brennen,"to burn, to have a strong affection for, to induce pain, to tan","brûler, avoir une forte affection pour, provoquer de la douleur",,
43,,kriegen,kriegen,"to get after asking or fighting, to wage war","obtenir après avoir demandé ou combattu, faire la guerre",Sometimes Reflexive,Parfois Réfléchi
43,,benötigen,benötigen,"to need, to require (formal)","avoir besoin, exiger",,
43,,erledigen,erledigen,"to handle, to deal with, to get done","gérer, traiter, faire avancer les choses",Sometimes Reflexive,Parfois Réfléchi
43,,prüfen,prüfen,"to check, to examine, to test, to investigate","vérifier, examiner, tester, enquêter",,
43,,behandeln,behandeln,"to treat, to handle, to deal with","traiter, manipuler, faire face à",Sometimes Reflexive,Parfois Réfléchi
43,,ansehen,ansehen,"to look at something, to watch something","regarder quelque chose, observer quelque chose",Sometimes Reflexive,Parfois Réfléchi
43,,mitteilen,mitteilen,"to inform, to notify, to communicate","informer, notifier, communiquer",,
43,,erstellen,erstellen,"to create, to prepare, to compile","créer, préparer, compiler",,
43,,schieben,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner",,
43,,bedienen,bedienen,"to serve, to operate, to use","servir, opérer, utiliser",Sometimes Reflexive,Parfois Réfléchi
43,,verabschieden,verabschieden,"to say goodbye, to bid farewell, to adopt (a law formally)","dire au revoir, faire ses adieux",Sometimes Reflexive,Parfois Réfléchi
43,,behaupten,behaupten,"to claim, to assert, to maintain","revendiquer, affirmer, maintenir",,
43,,zuhören,zuhören,to listen to someone (with dative),écouter quelqu'un,,
44,,rücken,rücken,"to move, to shift, to edge, to advance","déplacer, décaler, border, avancer",Sometimes Reflexive,Parfois Réfléchi
44,,zwingen,zwingen,"to force, to compel","forcer, contraindre",,
44,,übertragen,übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",Sometimes Reflexive,Parfois Réfléchi
44,,verteilen,verteilen,"to distribute, to allocate, to hand out","distribuer, attribuer",Sometimes Reflexive,Parfois Réfléchi
44,,treten,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer",Sometimes Reflexive,Parfois Réfléchi
44,,geraten,geraten,"to get into, to fall into, to turn out","entrer dans, tomber dans, se révéler",,
44,,zunehmen,zunehmen,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",,
44,,entsprechen,entsprechen,"to correspond, to match, to comply with","correspondre, égaler, se conformer à",,
44,,mitmachen,mitmachen,"to participate, to join in, to go along","participer, se joindre à, accompagner",,
44,,stammen,stammen,"to come from, to originate, to descend","venir de, être originaire, descendre",,
44,,erfüllen,erfüllen,"to fulfill, to satisfy, to carry out","accomplir, satisfaire, réaliser",Sometimes Reflexive,Parfois Réfléchi
44,,garantieren,garantieren,"to guarantee, to assure","garantir, assurer",,
44,,installieren,installieren,"to install, to set up","installer, configurer",,
44,,drehen,drehen,"to turn, to veer","tourner, dévier",Sometimes Reflexive,Parfois Réfléchi
44,,verhindern,verhindern,"to prevent, to hinder, to stop","empêcher, entraver, arrêter",,
44,,surfen,surfen,to surf,surfer,,
44,,akzeptieren,akzeptieren,to accept,accepter,,
44,,vereinbaren,vereinbaren,"to agree, to arrange, to settle","convenir, arranger, régler",,
44,,schalten,schalten,"to switch, to shift gears, to turn on, to turn off","changer, changer de vitesse, allumer, éteindre",Sometimes Reflexive,Parfois Réfléchi
44,,präsentieren,präsentieren,"to present, to showcase","présenter, mettre en valeur",Sometimes Reflexive,Parfois Réfléchi
45,,beschränken,beschränken,"to limit, to restrict","limiter, restreindre",Sometimes Reflexive,Parfois Réfléchi
45,,leisten,leisten,"to achieve, to perform, to provide","réaliser, réaliser, fournir",Sometimes Reflexive,Parfois Réfléchi
45,,produzieren,produzieren,"to produce, to manufacture","produire, fabriquer",,
45,,fördern,fördern,"to promote, to support","promouvoir, soutenir",,
45,,erfolgen,erfolgen,"to occur, to take place","se produire, avoir lieu",,
45,,ordnen,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer",Sometimes Reflexive,Parfois Réfléchi
45,,stärken,stärken,"to strengthen, to reinforce","renforcer, consolider",,
45,,begleiten,begleiten,"to accompany, to escort","accompagner, escorter",,
45,,begründen,begründen,"to justify, to explain, to establish","justifier, expliquer, établir",,
45,,veröffentlichen,veröffentlichen,"to publish, to release","publier, diffuser",,
45,,festlegen,festlegen,"to define, to determine, to set","définir, déterminer, établir",Sometimes Reflexive,Parfois Réfléchi
45,,löschen,löschen,"to delete, to extinguish, to erase","supprimer, éteindre, effacer",Sometimes Reflexive,Parfois Réfléchi
45,,reiten,reiten,to ride (a horse),monter à cheval,Sometimes Reflexive,Parfois Réfléchi
45,,ausfüllen,ausfüllen,"to complete, to fill in, to fill out","compléter, remplir",Sometimes Reflexive,Parfois Réfléchi
45,,verlangen,verlangen,"to demand, to request, to desire","exiger, requérir, désirer",,
45,,wiegen,wiegen,"to weight, to balance",peser,Sometimes Reflexive,Parfois Réfléchi
45,,einziehen,einziehen,"to move in, to penetrate, to infiltrate","s'introduire, pénétrer, s'infiltrer",Sometimes Reflexive,Parfois Réfléchi
45,,wagen,wagen,"to venture, to dare, to risk, to jeopardise","s'aventurer, oser, risquer, mettre en péril",,
45,,stürzen,stürzen,"to fall, to rush, to throw, to overturn, to overthrow something","tomber, se précipiter, jeter, renverser, renverser quelque chose",Sometimes Reflexive,Parfois Réfléchi
45,,eingehen,eingehen,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose",,
46,,baden,baden,"to bathe, to swim, to take a bath","se baigner, nager, prendre un bain",Sometimes Reflexive,Parfois Réfléchi
46,,fressen,fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir",,
46,,gucken,gucken,"to look, to watch, to peek (coll.)","regarder, épier, jeter un coup d'œil (familier)",,
46,,decken,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger",Sometimes Reflexive,Parfois Réfléchi
46,,richten,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",Sometimes Reflexive,Parfois Réfléchi
46,,verzichten,verzichten,"to renounce, to give up, to do without, to forgo","renoncer, abandonner, se passer de",,
46,,erwähnen,erwähnen,"to mention, to refer to","mentionner, faire référence à",,
46,,töten,töten,"to kill, to slay","tuer, égorger",,
46,,vermuten,vermuten,"to suspect, to assume, to suppose","soupçonner, supposer, présumer",,
46,,nachdenken,nachdenken,"to think about, to reflect, to ponder","penser à, réfléchir, méditer",,
46,,reinigen,reinigen,"to clean, to cleanse","nettoyer, purifier",Sometimes Reflexive,Parfois Réfléchi
46,,einrichten,einrichten,"to set up, to furnish, to arrange","installer, meubler, aménager",Sometimes Reflexive,Parfois Réfléchi
46,,verwalten,verwalten,"to manage, to administer","gérer, administrer",,
46,,analysieren,analysieren,to analyze,analyser,,
46,,beachten,beachten,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",,
46,,landen,landen,"to land, to end up","atterrir, finir",,
46,,profitieren,profitieren,"to benefit, to profit","bénéficier, profiter",,
46,,anzeigen,anzeigen,"to report, to indicate, to display","signaler, indiquer, afficher",Sometimes Reflexive,Parfois Réfléchi
46,,berücksichtigen,berücksichtigen,"to consider, to take into account","considérer, prendre en compte",,
46,,pflanzen,pflanzen,"to plant, to sow","planter, semer",,
47,,fließen,fließen,"to flow, to run","couler, courir",,
47,,eröffnen,eröffnen,"to open, to inaugurate","ouvrir, inaugurer",Sometimes Reflexive,Parfois Réfléchi
47,,steuern,steuern,"to steer, to control, to govern","diriger, contrôler, gouverner",Sometimes Reflexive,Parfois Réfléchi
47,,schweigen,schweigen,"to be silent, to say nothing","se taire, ne rien dire",,
47,,klagen,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice",,
47,,kopieren,kopieren,"to copy, to duplicate","copier, dupliquer",,
47,,streichen,streichen,"to stroke, to cancel, to spread, to rub, to paint","caresser, annuler, étaler, frotter, peindre",Sometimes Reflexive,Parfois Réfléchi
47,,aufregen,aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer",Mostly Reflexive,Principalement Réfléchi
47,,klicken,klicken,to click,cliquer,Sometimes Reflexive,Parfois Réfléchi
47,,wecken,wecken,"to wake, to awaken, to arouse","réveiller, éveiller",Sometimes Reflexive,Parfois Réfléchi
47,,abnehmen,abnehmen,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",Sometimes Reflexive,Parfois Réfléchi
47,,beweisen,beweisen,"to prove, to demonstrate","prouver, démontrer",,
47,,parken,parken,to park,se garer,Sometimes Reflexive,Parfois Réfléchi
47,,erscheinen,erscheinen,"to appear, to be published, to seem","apparaître, être publié, sembler",,
47,,joggen,joggen,to jog,faire du jogging,,
47,,verursachen,verursachen,"to cause, to provoke, to bring about","causer, provoquer",,
47,,beschließen,beschließen,"to decide, to resolve","décider, résoudre",,
47,,bearbeiten,bearbeiten,"to edit, to process, to work on","éditer, traiter, travailler sur",,
47,,hinweisen,hinweisen,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",,
47,,leiten,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire",,
48,,beeinflussen,beeinflussen,"to influence, to affect","influencer, affecter",,
48,,zulassen,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser",,
48,,verlängern,verlängern,"to extend, to prolong","étendre, prolonger",Sometimes Reflexive,Parfois Réfléchi
48,,fassen,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",Sometimes Reflexive,Parfois Réfléchi
48,,belegen,belegen,"to prove, to occupy, to substantiate","prouver, occuper, étayer",,
48,,auftreten,auftreten,"to appear, to occur, to perform","apparaître, se produire, accomplir",,
48,,angeben,angeben,"to state, to declare, to show off, to brag","déclarer, affirmer, se vanter",Sometimes Reflexive,Parfois Réfléchi
48,,betonen,betonen,"to emphasize, to stress","souligner, insister",,
48,,errichten,errichten,"to build, to erect, to establish","construire, ériger, établir",,
48,,ausrichten,ausrichten,"to align, to arrange, to organize","aligner, arranger, organiser",Sometimes Reflexive,Parfois Réfléchi
48,,schaden,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)",,
48,,klingeln,klingeln,"to ring, to chime","sonner, faire sonner",,
48,,unterstreichen,unterstreichen,"to underline, to emphasize, to highlight","souligner, mettre en valeur, mettre en valeur",,
