Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
343,12,Ich helfe einer _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe einer klugen Lehrerin bei den Hausaufgaben.,I'm helping a smart teacher with her homework.,J'aide une enseignante intelligente avec ses devoirs.,klug,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
344,12,Er gibt einer _____ Katze frisches Wasser.,alten,Er gibt einer alten Katze frisches Wasser.,He gives an old cat fresh water.,Il donne de l'eau fraîche à un vieux chat.,alt,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
345,12,Wir danken einer _____ Künstlerin für ihr Werk.,schönen,Wir danken einer schönen Künstlerin für ihr Werk.,We thank a beautiful artist for her work.,Nous remercions une belle artiste pour son travail.,schön,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
346,12,Der Professor erklärt einem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt einem fleißigen Studenten die Aufgabe.,The professor explains the task to a diligent student.,Le professeur explique la tâche à un étudiant assidu.,fleißig,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
347,12,Die Gäste schenken einem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken einem freundlichen Kellner ein Trinkgeld.,Guests tip a friendly waiter.,Les clients donnent un pourboire à un serveur sympathique.,freundlich,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
348,12,Ich helfe einem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe einem klugen Kind bei den Hausaufgaben.,I'm helping a smart kid with his homework.,J'aide un enfant intelligent avec ses devoirs.,klug,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
349,12,Er gibt einem _____ Buch einen neuen Einband.,alten,Er gibt einem alten Buch einen neuen Einband.,He gives an old book a new cover.,Il donne une nouvelle couverture à un vieux livre.,alt,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
350,12,Wir danken einem _____ Gemälde für die Inspiration.,schönen,Wir danken einem schönen Gemälde für die Inspiration.,We thank a beautiful painting for the inspiration.,Nous remercions un beau tableau pour l'inspiration.,schön,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
351,12,Eine _____ Schülerin lernt jeden Abend Deutsch.,fleißige,Eine fleißige Schülerin lernt jeden Abend Deutsch.,A hard-working student learns German every evening.,Un étudiant travailleur apprend l'allemand tous les soirs.,fleißig,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
352,12,Eine _____ Nachbarin hilft uns oft.,freundliche,Eine freundliche Nachbarin hilft uns oft.,A friendly neighbor often helps us.,Un voisin amical nous aide souvent.,freundlich,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
353,12,Ein _____ Lehrer erklärt die Grammatik sehr gut.,kluger,Ein kluger Lehrer erklärt die Grammatik sehr gut.,A smart teacher explains grammar very well.,Un professeur intelligent explique très bien la grammaire.,klug,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
354,12,Ein _____ Hund schläft den ganzen Tag.,alter,Ein alter Hund schläft den ganzen Tag.,An old dog sleeps all day.,Un vieux chien dort toute la journée.,alt,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
355,12,Ein _____ Baum steht im Garten.,schöner,Ein schöner Baum steht im Garten.,There is a beautiful tree in the garden.,Il y a un bel arbre dans le jardin.,schön,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
356,12,Ein _____ Mädchen macht ihre Hausaufgaben.,fleißiges,Ein fleißiges Mädchen macht ihre Hausaufgaben.,A diligent girl does her homework.,Une fille assidue fait ses devoirs.,fleißig,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
357,12,Ein _____ Lächeln macht ihn sympathisch.,freundliches,Ein freundliches Lächeln macht ihn sympathisch.,A friendly smile makes him likeable.,Un sourire amical le rend sympathique.,freundlich,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
358,13,für meine _____ Mutter,nette,für meine nette Mutter,,,nett,Feminine,Féminin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
359,13,für meinen _____ Vater,netten,für meinen netten Vater,,,nett,Masculine,Masculin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
360,13,für mein _____ Kind,nettes,für mein nettes Kind,,,nett,Neuter,Neutre,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
361,13,für meine _____ Eltern,netten,für meine netten Eltern,,,nett,Plural,Pluriel,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
362,13,mit meiner _____ Mutter,netten,mit meiner netten Mutter,,,nett,Feminine,Féminin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
363,13,mit meinem _____ Vater,netten,mit meinem netten Vater,,,nett,Masculine,Masculin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
364,13,mit meinem _____ Kind,netten,mit meinem netten Kind,,,nett,Neuter,Neutre,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
365,13,mit meinen _____ Eltern,netten,mit meinen netten Eltern,,,nett,Plural,Pluriel,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
366,13,meine _____ Mutter,nette,meine nette Mutter,,,nett,Feminine,Féminin,Nominative,Nominatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
367,13,mein _____ Vater,netter,mein netter Vater,,,nett,Masculine,Masculin,Nominative,Nominatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
368,13,mein _____ Kind,nettes,mein nettes Kind,,,nett,Neuter,Neutre,Nominative,Nominatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
369,13,meine _____ Eltern,netten,meine netten Eltern,,,nett,Plural,Pluriel,Nominative,Nominatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
370,14,Ich sehe meine _____ Wohnung zum ersten Mal.,neue,Ich sehe meine neue Wohnung zum ersten Mal.,I see my new apartment for the first time.,Je vois mon nouvel appartement pour la première fois.,neu,Feminine,Féminin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
371,14,Er trifft seine _____ Freundin im Café.,alte,Er trifft seine alte Freundin im Café.,He meets his old girlfriend in the cafe.,Il rencontre son ancienne petite amie au café.,alt,Feminine,Féminin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
372,14,Du legst deine _____ Tasche auf den Boden.,große,Du legst deine große Tasche auf den Boden.,You put your large bag on the floor.,Vous posez votre grand sac sur le sol.,groß,Feminine,Féminin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
373,14,Ich sehe meinen _____ Hund im Park.,neuen,Ich sehe meinen neuen Hund im Park.,I see my new dog in the park.,Je vois mon nouveau chien dans le parc.,neu,Masculine,Masculin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
374,14,Er besucht seinen _____ Freund in Berlin.,alten,Er besucht seinen alten Freund in Berlin.,He visits his old friend in Berlin.,Il rend visite à son vieil ami à Berlin.,alt,Masculine,Masculin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
375,14,Wir haben deinen _____ Bruder gestern getroffen.,großen,Wir haben deinen großen Bruder gestern getroffen.,We met your big brother yesterday.,Nous avons rencontré ton grand frère hier.,groß,Masculine,Masculin,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
376,14,Ich kaufe mein _____ Auto morgen.,neues,Ich kaufe mein neues Auto morgen.,I'm buying my new car tomorrow.,J'achète ma nouvelle voiture demain.,neu,Neuter,Neutre,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
377,14,Er renoviert sein _____ Haus in diesem Sommer.,altes,Er renoviert sein altes Haus in diesem Sommer.,He is renovating his old house this summer.,Il rénove sa vieille maison cet été.,alt,Neuter,Neutre,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
378,14,Sie dekoriert dein _____ Zimmer mit Pflanzen.,großes,Sie dekoriert dein großes Zimmer mit Pflanzen.,She decorates your large room with plants.,Elle décore votre grande pièce avec des plantes.,groß,Neuter,Neutre,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
379,14,Ich sehe meine _____ Bücher auf dem Tisch.,neuen,Ich sehe meine neuen Bücher auf dem Tisch.,I see my new books on the table.,Je vois mes nouveaux livres sur la table.,neu,Plural,Pluriel,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
380,14,Er besucht seine _____ Freunde in der Stadt.,alten,Er besucht seine alten Freunde in der Stadt.,He visits his old friends in the city.,Il rend visite à ses vieux amis en ville.,alt,Plural,Pluriel,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
381,14,Wir räumen deine _____ Taschen in den Schrank.,großen,Wir räumen deine großen Taschen in den Schrank.,We'll put your large bags in the closet.,Nous mettrons vos gros sacs dans le placard.,groß,Plural,Pluriel,Accusative,Accusatif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
382,14,Ich helfe meiner _____ Freundin beim Umzug.,neuen,Ich helfe meiner neuen Freundin beim Umzug.,I'm helping my new girlfriend move.,J'aide ma nouvelle petite amie à déménager.,neu,Feminine,Féminin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
383,14,Er gibt seiner _____ Mutter ein Geschenk.,alten,Er gibt seiner alten Mutter ein Geschenk.,He gives his old mother a present.,Il offre un cadeau à sa vieille mère.,alt,Feminine,Féminin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
384,14,Du vertraust deiner _____ Schwester mit deinem Geheimnis.,großen,Du vertraust deiner großen Schwester mit deinem Geheimnis.,You trust your big sister with your secret.,Tu confies ton secret à ta grande sœur.,groß,Feminine,Féminin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
385,14,Ich helfe meinem _____ Freund bei den Hausaufgaben.,neuen,Ich helfe meinem neuen Freund bei den Hausaufgaben.,I'm helping my new friend with his homework.,J'aide mon nouvel ami avec ses devoirs.,neu,Masculine,Masculin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
386,14,Er schenkt seinem _____ Vater ein Buch.,alten,Er schenkt seinem alten Vater ein Buch.,He gives his old father a book.,Il donne un livre à son vieux père.,alt,Masculine,Masculin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
387,14,Wir geben deinem _____ Bruder das Geschenk.,großen,Wir geben deinem großen Bruder das Geschenk.,We'll give the present to your big brother.,Nous donnerons le cadeau à ton grand frère.,groß,Masculine,Masculin,Dative,Datif,Possessivartikel (Gemischte Deklination),Possessive article (mixed declension),Article possessif (déclinaison mixte)
