Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,,,
468,14,Der Lehrer hat _____ gestern gelobt.,sie,Der Lehrer hat sie gestern gelobt.,The teacher praised her yesterday.,Le professeur l'a félicitée hier.,Sie (Singular),Accusative,Accusatif,,,,,
469,14,Nach dem Spiel habe ich _____ zurückgebracht.,es,Nach dem Spiel habe ich es zurückgebracht.,After the game I returned it.,Après le match je l'ai rendu.,Es,Accusative,Accusatif,,,,,
470,14,Der Lehrer hat _____ gestern erklärt.,es,Der Lehrer hat es gestern erklärt.,The teacher explained it yesterday.,Le professeur l'a expliqué hier.,Es,Accusative,Accusatif,,,,,
471,14,Nach der Veranstaltung haben sie _____ eingeladen.,uns,Nach der Veranstaltung haben sie uns eingeladen.,They invited us after the event.,Ils nous ont invités après l'événement.,Wir,Accusative,Accusatif,,,,,
472,14,Der Hund hat _____ sofort erkannt.,uns,Der Hund hat uns sofort erkannt.,The dog recognized us immediately.,Le chien nous a reconnu immédiatement.,Wir,Accusative,Accusatif,,,,,
473,14,Morgen nimmt der Chef _____ in sein Büro mit.,uns,Morgen nimmt der Chef uns in sein Büro mit.,Tomorrow the boss will take us to his office.,"Demain, le patron nous emmènera à son bureau.",Wir,Accusative,Accusatif,,,,,
474,14,Ich habe _____ beim Konzert sofort erkannt.,euch,Ich habe euch beim Konzert sofort erkannt.,I recognized you immediately at the concert. (Plural),Je t'ai reconnu immédiatement au concert. (Pluriel),Ihr,Accusative,Accusatif,,,,,
475,14,Kann ich _____ später anrufen?,euch,Kann ich euch später anrufen?,Can I call you later? (Plural),Puis-je t'appeler plus tard ? (Pluriel),Ihr,Accusative,Accusatif,,,,,
476,14,Ich habe _____ gestern im Park getroffen.,sie,Ich habe sie gestern im Park getroffen.,I met them in the park yesterday.,Je les ai rencontrés au parc hier.,Sie (Plural),Accusative,Accusatif,,,,,
477,14,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Can you call them later?,Peux-tu les appeler plus tard ?,Sie (Plural),Accusative,Accusatif,,,,,
478,14,Der Hund hat _____ im Garten gesehen.,sie,Der Hund hat sie im Garten gesehen.,The dog saw them in the garden.,Le chien les a vus dans le jardin.,Sie (Plural),Accusative,Accusatif,,,,,
479,14,Der Hund hat _____ sofort erkannt.,Sie,Der Hund hat Sie sofort erkannt.,The dog recognized you immediately. (Formal),Le chien vous a reconnu immédiatement. (Formel),Sie (Formell),Accusative,Accusatif,,,,,
480,14,Nach der Besprechung werden wir _____ informieren.,Sie,Nach der Besprechung werden wir Sie informieren.,We will inform you after the meeting. (Formal),Nous vous informerons après la réunion. (Formelle),Sie (Formell),Accusative,Accusatif,,,,,
481,14,Kannst du _____ bitte helfen?,mir,Kannst du mir bitte helfen?,Can you please help me?,Pouvez-vous m'aider s'il vous plaît ?,Ich,Dative,Datif,,,,,
482,14,Der Lehrer hat _____ eine gute Note gegeben.,mir,Der Lehrer hat mir eine gute Note gegeben.,The teacher gave me a good grade.,Le professeur m'a donné une bonne note.,Ich,Dative,Datif,,,,,
483,14,Das neue Buch gefällt _____ sehr gut.,mir,Das neue Buch gefällt mir sehr gut.,I really like the new book.,J'aime beaucoup le nouveau livre.,Ich,Dative,Datif,,,,,
484,14,Nach dem Spiel hat er _____ die Wahrheit gesagt.,dir,Nach dem Spiel hat er dir die Wahrheit gesagt.,After the game he told you the truth. (Singular),"Après le match, il t'a dit la vérité. (Singulier)",Du,Dative,Datif,,,,,
485,14,"Der Hund folgt immer _____, wenn du ihn rufst.",dir,"Der Hund folgt immer dir, wenn du ihn rufst.",The dog always follows you when you call him. (Singular),Le chien vous suit toujours quand vous l'appelez. (Singulier),Du,Dative,Datif,,,,,
486,14,Kannst du _____ später helfen?,ihm,Kannst du ihm später helfen?,Can you help him later?,Peux-tu l'aider plus tard ?,Er,Dative,Datif,,,,,
487,14,Der Lehrer hat _____ eine schwierige Frage gestellt.,ihm,Der Lehrer hat ihm eine schwierige Frage gestellt.,The teacher asked him a difficult question.,Le professeur lui a posé une question difficile.,Er,Dative,Datif,,,,,
488,14,Das neue Auto gefällt _____ sehr gut.,ihm,Das neue Auto gefällt ihm sehr gut.,He really likes the new car.,Il aime vraiment la nouvelle voiture.,Er,Dative,Datif,,,,,
489,14,Nach der Besprechung hat der Chef _____ einige Tipps gegeben.,ihr,Nach der Besprechung hat der Chef ihr einige Tipps gegeben.,"After the meeting, the boss gave her some tips.","Après la réunion, le patron lui a donné quelques conseils.",Sie (Singular),Dative,Datif,,,,,
490,14,"Der Hund folgt immer _____, wenn sie ihn ruft.",ihr,"Der Hund folgt immer ihr, wenn sie ihn ruft.",The dog always follows her when she calls him.,Le chien la suit toujours quand elle l'appelle.,Sie (Singular),Dative,Datif,,,,,
491,14,Kannst du _____ bei der Aufgabe helfen?,ihm,Kannst du ihm bei der Aufgabe helfen?,Can you help it with the task?,Pouvez-vous l'aider dans cette tâche ?,Es,Dative,Datif,,,,,
492,14,Der Lehrer hat _____ eine interessante Frage gestellt.,ihm,Der Lehrer hat ihm eine interessante Frage gestellt.,The teacher asked it an interesting question.,Le professeur lui a posé une question intéressante.,Es,Dative,Datif,,,,,
493,14,Das neue Spielzeug gefällt _____ sehr gut.,ihm,Das neue Spielzeug gefällt ihm sehr gut.,It really likes the new toy.,Il aime vraiment le nouveau jouet.,Es,Dative,Datif,,,,,
494,14,Nach dem Spiel hat der Trainer _____ einige Tipps gegeben.,uns,Nach dem Spiel hat der Trainer uns einige Tipps gegeben.,"After the game, the coach gave us some tips.","Après le match, l'entraîneur nous a donné quelques conseils.",Wir,Dative,Datif,,,,,
495,14,"Der Hund folgt immer _____, wenn wir ihn rufen.",uns,"Der Hund folgt immer uns, wenn wir ihn rufen.",The dog always follows us when we call him.,Le chien nous suit toujours quand on l'appelle.,Wir,Dative,Datif,,,,,
496,14,Kann ich _____ bei der Aufgabe helfen?,euch,Kann ich euch bei der Aufgabe helfen?,Can I help you with the task? (Plural),Puis-je vous aider avec la tâche ? (Pluriel),Ihr,Dative,Datif,,,,,
497,14,Der Lehrer hat _____ die Regeln erklärt.,euch,Der Lehrer hat euch die Regeln erklärt.,The teacher explained the rules to you. (Plural),Le professeur vous a expliqué les règles. (Pluriel),Ihr,Dative,Datif,,,,,
498,14,Der neue Film gefällt _____ sehr gut?,euch,Der neue Film gefällt euch sehr gut?,Do you really like the new film? (Plural),Aimez-vous vraiment le nouveau film ? (Pluriel),Ihr,Dative,Datif,,,,,
499,14,Nach dem Spiel hat der Trainer _____ hilfreiche Tipps gegeben.,ihnen,Nach dem Spiel hat der Trainer ihnen hilfreiche Tipps gegeben.,"After the game, the coach gave them helpful tips.","Après le match, l’entraîneur leur a donné des conseils utiles.",Sie (Plural),Dative,Datif,,,,,
500,14,"Der Hund folgt immer _____, wenn sie ihn rufen.",ihnen,"Der Hund folgt immer ihnen, wenn sie ihn rufen.",The dog always follows them when they call him.,Le chien les suit toujours quand ils l'appellent.,Sie (Plural),Dative,Datif,,,,,
501,14,Kann ich _____ bei der Planung helfen?,Ihnen,Kann ich Ihnen bei der Planung helfen?,Can I help you with the planning? (Formal),Puis-je vous aider avec la planification ? (Formel),Sie (Formell),Dative,Datif,,,,,
502,14,Der Lehrer hat _____ die neuen Informationen erklärt.,Ihnen,Der Lehrer hat Ihnen die neuen Informationen erklärt.,The teacher explained the new information to you. (Formal),Le professeur vous a expliqué les nouvelles informations. (Formel),Sie (Formell),Dative,Datif,,,,,
503,14,Die Idee mit der neuen Strategie gefällt _____?,Ihnen,Die Idee mit der neuen Strategie gefällt Ihnen?,Do you like the idea of the new strategy? (Formal),Aimez-vous l'idée de la nouvelle stratégie ? (Formel),Sie (Formell),Dative,Datif,,,,,
504,15,,etwas,,something,quelque chose,,,,,,,,
505,15,,nichts,,nothing,rien,,,,,,,,
506,15,,niemand,,"no one, nobody ● Nominative",personne ● Nominatif,,,,,,,,
507,15,,niemanden,,"no one, nobody ● Accusative",personne ● Accusatif,,,,,,,,
508,15,,niemandem,,"no one, nobody ● Dative",personne ● Datif,,,,,,,,
509,15,,jemand,,"someone, somebody ● Nominative",quelqu'un ● Nominatif,,,,,,,,
510,15,,jemanden,,"someone, somebody ● Accusative",quelqu'un ● Accusatif,,,,,,,,
511,15,,jemandem,,"someone, somebody ● Dative",quelqu'un ● Datif,,,,,,,,
512,15,,man,,"one, you (impersonal pronoun) ● Nominative",on (pronom impersonel) ● Nominatif,,,,,,,,
513,15,,einen,,"one, you (impersonal pronoun) ● Accusative",on (pronom impersonel) ● Accusatif,,,,,,,,
514,15,,einem,,"one, you (impersonal pronoun) ● Dative",on (pronom impersonel) ● Datif,,,,,,,,
515,15,,einander,,each other,l'un l'autre,,,,,,,,
516,16,Ich möchte _____ essen.,etwas,Ich möchte etwas essen.,I want to eat something.,Je veux manger quelque chose.,,,,,,,,
517,16,Kannst du mir _____ helfen?,etwas,Kannst du mir etwas helfen?,Can you help me a little?,Peux-tu m'aider un peu ?,,,,,,,,
518,16,Ich habe _____ Interessantes gelesen.,etwas,Ich habe etwas Interessantes gelesen.,I read something interesting.,J'ai lu quelque chose d'intéressant.,,,,,,,,
519,16,Er spricht _____ langsamer als vorher.,etwas,Er spricht etwas langsamer als vorher.,He speaks a little slower than before.,Il parle un peu plus lentement qu'avant.,,,,,,,,
520,16,Gibt es _____ Neues?,etwas,Gibt es etwas Neues?,Is there anything new?,Y a-t-il quelque chose de nouveau ?,,,,,,,,
521,16,Ich habe heute _____ gegessen.,nichts,Ich habe heute nichts gegessen.,I have eaten nothing today.,Je n'ai rien mangé aujourd'hui.,,,,,,,,
522,16,Er sagt _____ über seine Pläne.,nichts,Er sagt nichts über seine Pläne.,He says nothing about his plans.,Il ne dit rien de ses projets.,,,,,,,,
523,16,Es gibt _____ Interessantes im Fernsehen.,nichts,Es gibt nichts Interessantes im Fernsehen.,There is nothing interesting on TV.,Il n’y a rien d’intéressant à la télé.,,,,,,,,
524,16,Ich verstehe _____ von Mathematik.,nichts,Ich verstehe nichts von Mathematik.,I understand nothing about mathematics.,Je ne comprends rien aux mathématiques.,,,,,,,,
525,16,Sie hat _____ gegen die Idee.,nichts,Sie hat nichts gegen die Idee.,She has nothing against the idea.,Elle n’a rien contre l’idée.,,,,,,,,
526,16,"_____ hat an der Tür geklopft, aber niemand war draußen.",Jemand,"Jemand hat an der Tür geklopft, aber niemand war draußen.","Someone knocked on the door, but no one was outside.","Quelqu'un a frappé à la porte, mais il n'y avait personne dehors.",,,,,,,,
527,16,"Ich glaube, _____ hat seine Tasche hier vergessen.",jemand,"Ich glaube, jemand hat seine Tasche hier vergessen.",I think someone forgot their bag here.,Je pense que quelqu'un a oublié son sac ici.,,,,,,,,
528,16,_____ muss die Verantwortung übernehmen.,Jemand,Jemand muss die Verantwortung übernehmen.,Someone has to take responsibility.,Quelqu’un doit prendre ses responsabilités.,,,,,,,,
529,16,Hat _____ den Schlüssel gesehen?,jemand,Hat jemand den Schlüssel gesehen?,Has someone seen the key?,Quelqu'un a vu la clé ?,,,,,,,,
530,16,_____ wartet draußen auf dich.,Jemand,Jemand wartet draußen auf dich.,Someone is waiting outside for you.,Quelqu'un vous attend dehors.,,,,,,,,
531,16,"Ich suche _____, der mir bei den Hausaufgaben hilft.",jemanden,"Ich suche jemanden, der mir bei den Hausaufgaben hilft.",I’m looking for someone who can help me with homework.,Je recherche quelqu’un qui peut m’aider avec mes devoirs.,,,,,,,,
532,16,Hast du _____ angerufen?,jemanden,Hast du jemanden angerufen?,Did you call someone?,As-tu appelé quelqu'un ?,,,,,,,,
533,16,Sie hat _____ im Park getroffen.,jemanden,Sie hat jemanden im Park getroffen.,She met someone in the park.,Elle a rencontré quelqu'un dans le parc.,,,,,,,,
534,16,"Wir brauchen _____, der das erklären kann.",jemanden,"Wir brauchen jemanden, der das erklären kann.",We need someone who can explain that.,Nous avons besoin de quelqu’un qui puisse expliquer cela.,,,,,,,,
535,16,Kannst du _____ empfehlen?,jemanden,Kannst du jemanden empfehlen?,Can you recommend someone?,Pouvez-vous me recommander quelqu'un ?,,,,,,,,
536,16,Ich habe _____ das Buch gegeben.,jemandem,Ich habe jemandem das Buch gegeben.,I gave the book to someone.,J'ai donné le livre à quelqu'un.,,,,,,,,
537,16,Du solltest _____ von deinem Problem erzählen.,jemandem,Du solltest jemandem von deinem Problem erzählen.,You should tell someone about your problem.,Tu devrais parler de ton problème à quelqu'un.,,,,,,,,
538,16,Hat _____ das Essen geschmeckt?,jemandem,Hat jemandem das Essen geschmeckt?,Did someone enjoy the food?,Est-ce que quelqu'un a apprécié la nourriture ?,,,,,,,,
539,16,Wir helfen immer gern _____ in Not.,jemandem,Wir helfen immer gern jemandem in Not.,We’re always happy to help someone in need.,Nous sommes toujours heureux d’aider quelqu’un dans le besoin.,,,,,,,,
540,16,"Sie vertraut _____, den sie kaum kennt.",jemandem,"Sie vertraut jemandem, den sie kaum kennt.",She trusts someone she barely knows.,Elle fait confiance à quelqu’un qu’elle connaît à peine.,,,,,,,,
541,16,"_____ weiß, wo er ist.",Niemand,"Niemand weiß, wo er ist.",No one knows where he is.,Personne ne sait où il est.,,,,,,,,
542,16,Heute ist _____ zur Party gekommen.,niemand,Heute ist niemand zur Party gekommen.,No one came to the party today.,Personne n'est venu à la fête aujourd'hui.,,,,,,,,
543,16,"_____ hat mir geholfen, obwohl ich gefragt habe.",Niemand,"Niemand hat mir geholfen, obwohl ich gefragt habe.","No one helped me, even though I asked.","Personne ne m’a aidé, même si j’ai demandé.",,,,,,,,
544,16,_____ arbeitet so hart wie sie.,Niemand,Niemand arbeitet so hart wie sie.,No one works as hard as she does.,Personne ne travaille aussi dur qu’elle.,,,,,,,,
545,16,"Es war so still, dass _____ etwas sagte.",niemand,"Es war so still, dass niemand etwas sagte.",It was so quiet that no one said anything.,C'était si calme que personne ne disait rien.,,,,,,,,
546,16,Ich habe _____ gesehen.,niemanden,Ich habe niemanden gesehen.,I didn’t see anyone.,Je n’ai vu personne.,,,,,,,,
547,16,Sie kennt hier _____.,niemanden,Sie kennt hier niemanden.,She doesn’t know anyone here.,Elle ne connaît personne ici.,,,,,,,,
548,16,Wir haben _____ eingeladen.,niemanden,Wir haben niemanden eingeladen.,We didn’t invite anyone.,Nous n’avons invité personne.,,,,,,,,
549,16,_____ interessiert das Thema.,Niemanden,Niemanden interessiert das Thema.,No one is interested in the topic.,Personne ne s'intéresse au sujet.,,,,,,,,
550,16,Kannst du _____ erreichen?,niemanden,Kannst du niemanden erreichen?,Can’t you reach anyone?,Vous n’arrivez pas à joindre quelqu’un ?,,,,,,,,
551,16,Ich habe _____ davon erzählt.,niemandem,Ich habe niemandem davon erzählt.,I didn’t tell anyone about it.,Je n’en ai parlé à personne.,,,,,,,,
552,16,Du kannst _____ vertrauen.,niemandem,Du kannst niemandem vertrauen.,You can’t trust anyone.,On ne peut faire confiance à personne.,,,,,,,,
553,16,_____ wurde geholfen.,Niemandem,Niemandem wurde geholfen.,No one was helped.,Personne n’a été aidé.,,,,,,,,
554,16,Wir schulden _____ etwas.,niemandem,Wir schulden niemandem etwas.,We owe nothing to anyone.,Nous ne devons rien à personne.,,,,,,,,
555,16,_____ gefällt dieses Wetter.,Niemandem,Niemandem gefällt dieses Wetter.,No one likes this weather.,Personne n’aime ce temps.,,,,,,,,
556,16,"Wenn man lügt, kann das _____ in Schwierigkeiten bringen.",einen,"Wenn man lügt, kann das einen in Schwierigkeiten bringen.","If you lie, it can get you into trouble.","Si vous mentez, cela peut vous causer des ennuis.",,,,,,,,
557,16,Diese Nachricht schockiert _____.,einen,Diese Nachricht schockiert einen.,This news shocks you.,Cette nouvelle vous choque.,,,,,,,,
558,16,Kritik verletzt _____ manchmal.,einen,Kritik verletzt einen manchmal.,Criticism sometimes hurts you.,La critique fait parfois du mal.,,,,,,,,
559,16,Die Hitze macht _____ müde.,einen,Die Hitze macht einen müde.,The heat makes you tired.,La chaleur vous fatigue.,,,,,,,,
560,16,Ungerechtigkeit ärgert _____ sehr.,einen,Ungerechtigkeit ärgert einen sehr.,Injustice really annoys you.,L’injustice vous agace vraiment.,,,,,,,,
561,16,"Wenn man krank ist, hilft _____ Ruhe.",einem,"Wenn man krank ist, hilft einem Ruhe.","When you’re sick, rest helps you.","Quand vous êtes malade, le repos vous aide.",,,,,,,,
562,16,Erfahrung lehrt _____ viel.,einem,Erfahrung lehrt einem viel.,Experience teaches you a lot.,L'expérience vous apprend beaucoup.,,,,,,,,
563,16,Manchmal fehlt _____ die Motivation.,einem,Manchmal fehlt einem die Motivation.,Sometimes you lack motivation.,"Parfois, vous manquez de motivation.",,,,,,,,
564,16,Das gibt _____ Hoffnung.,einem,Das gibt einem Hoffnung.,That gives you hope.,Cela vous donne de l'espoir.,,,,,,,,
565,16,In schweren Zeiten steht _____ die Familie bei.,einem,In schweren Zeiten steht einem die Familie bei.,"In tough times, your family supports you.","Dans les moments difficiles, votre famille vous soutient.",,,,,,,,
566,16,_____ sollte jeden Tag mindestens zwei Liter Wasser trinken.,Man,Man sollte jeden Tag mindestens zwei Liter Wasser trinken.,One should drink at least two liters of water every day.,Il faut boire au moins deux litres d’eau par jour.,,,,,,,,
